"EventId","Title","Poster_Url","Stage","Location","Genres","Schedules","Ticketing"
"30","test23","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"31","test25","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"32","test26","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"33","test28","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"34","test29","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"35","test30","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"36","test27","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"37","test31","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"38","test32","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"39","test34","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-09T00:00:00","2024-12-31T21:22:00"
"41","공연 등록 테스트 중","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-30T00:00:00, 2025-01-31T00:00:00","2025-01-08T14:55:00"
"42","공연 등록 테스트 중","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-30T00:00:00, 2025-01-31T00:00:00","2025-01-08T14:55:00"
"43","공연 등록 테스트 중","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-30T00:00:00, 2025-01-31T00:00:00","2025-01-08T14:55:00"
"44","공연 등록 테스트 중","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-30T00:00:00, 2025-01-31T00:00:00","2025-01-08T14:55:00"
"45","공연 등록 테스트 중","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-30T00:00:00, 2025-01-31T00:00:00","2025-01-08T14:55:00"
"46","공연 등록 테스트 중","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-30T00:00:00, 2025-01-31T00:00:00","2025-01-08T14:55:00"
"48","뮤지컬 테스트","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","뮤지컬장","서울특별시","뮤지컬","2025-02-04T00:00:00, 2025-02-05T00:00:00","2025-01-22T19:53:00"
"49","쉬어매드니스","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","뮤지컬장","서울특별시","뮤지컬","2025-02-18T13:00:00, 2025-02-18T16:00:00, 2025-02-19T13:00:00, 2025-02-19T16:00:00, 2025-02-20T13:00:00, 2025-02-20T16:00:00","2025-01-28T21:33:00"
"50","매핑테스트","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","뮤지컬장","서울특별시","콘서트","2025-01-28T00:00:00","2025-01-08T22:13:00"
"51","퍼펙트 루비 온 레이즈","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","클래식_무용, 뮤지컬","2025-03-10T00:00:00, 2025-03-11T00:00:00","2025-02-26T16:20:00"
"52","이것이 자바다","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","콘서트장","인천광역시","전시_행사","2025-02-11T00:00:00, 2025-02-12T00:00:00","2025-01-21T16:24:00"
"53","챗지피티는 신이다람쥐2","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","뮤지컬장","서울특별시","뮤지컬, 아동_가족","2025-01-28T00:00:00, 2025-01-29T00:00:00","2025-01-13T16:29:00"
"54","토비의 수수수수퍼노바","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","아동_가족, 스포츠","2025-01-27T00:00:00, 2025-01-28T00:00:00","2025-01-20T16:37:00"
"57","test","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","스포츠장","서울특별시","스포츠","2025-01-30T00:00:00, 2025-01-31T00:00:00","2025-01-15T14:41:00"
"61","테스트초이","https://ficketresizebucket.s3.ap-northeast-2.amazonaws.com/pc_poster/poster/d6f1daef-2b78-4c3a-a07c-00d753098a43.jpg","콘서트장","인천광역시","뮤지컬, 콘서트","2025-01-08T00:00:00, 2025-01-09T00:00:00, 2025-01-10T00:00:00","2025-01-06T13:04:00"
